Schluessel;PKWBenzin;PKWDiesel;PKWPM01;PKWPM0;PKWPM1;PKWPM2;PKWPM3;PKWPM4;PKWPM5;LKWBenzin;LKWDiesel;LKWPM01;LKWPM0;LKWPM1;LKWPM2;LKWPM3;LKWPM4;LKWPM5
68;"4";"4";"";"";"";"4";"4";"4";"4";"";"";"0";"0";"";"";"";"";""
69;"4";"4";"";"";"";"4";"4";"4";"4";"";"";"0";"0";"";"";"";"";""
70;"4";"4";"";"";"";"4";"4";"4";"4";"4";"3";"";"";"";"4";"";"";""
71;"4";"2";"";"";"3";"4";"4";"";"";"4";"3";"";"";"";"4";"";"";""
72;"4";"3";"";"";"";"4";"4";"4";"";"";"";"";"";"";"";"";"";""
73;"4";"4";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";""
74;"4";"4";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";""
75;"4";"4";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";""
76;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
77;"4";"0";"0";"2";"3";"4";"4";"";"";"";"";"";"";"";"";"";"";""
78;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
79;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
80;"";"";"";"";"";"";"";"4";"4";"4";"4";"";"";"";"4";"";"";""
81;"";"";"";"";"";"";"";"4";"4";"4";"4";"";"";"";"4";"";"";""
82;"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"";"";""
83;"";"";"";"";"";"";"";"4";"4";"4";"4";"";"";"";"4";"";"";""
84;"";"";"";"";"";"";"";"4";"4";"4";"4";"";"";"";"4";"";"";""
85;"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"";"";""
86;"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"";"";""
87;"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"";"";""
88;"0";"0";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";""
89;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
90;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"4";"";""
91;"0";"0";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"4";"";""
92;"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
93;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
94;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
95;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
96;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
97;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
98;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
99;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
A0;"4";"4";"";"";"";"";"";"";"4";"4";"4";"";"";"";"";"";"4";"4"
B0;"";"4";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"";"";""
C0;"";"4";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"";"";""
D0;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"4";""
E0;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"4";""
F0;"4";"4";"";"";"";"";"";"";"4";"4";"4";"";"";"";"";"";"4";"4"
G0;"";"4";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"";"";""
H0;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"4";""
I0;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"4";""
J0;"4";"4";"";"";"";"";"";"";"4";"4";"4";"";"";"";"";"";"4";"4"
K0;"";"4";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"";"";""
L0;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"4";""
M0;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"4";""
N0;"";"4";"";"";"";"";"";"4";"4";"";"4";"4";"";"";"";"";"4";"4"
O0;"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"4";""
P0;"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"4";""
Q0;"";"4";"";"";"";"";"";"4";"4";"";"4";"4";"";"";"";"";"4";"4"
R0;"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"4";""
S0;"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"4";""
T0;"";"4";"";"";"";"";"";"4";"4";"";"4";"4";"";"";"";"";"4";"4"
U0;"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"4";""
V0";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"4";""
W0;"4";"4";"";"";"";"";"";"";"4";"4";"4";"";"";"";"";"";"4";"4"
X0;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"4";""
Y0;"";"";"";"";"";"";"";"";"";"4";"4";"";"";"";"";"";"4";""
